date,level,message,stacktrace
2015-02-03 08:43:21.7486,INFO,Loading data from Oracle to SQL for FIPS => ,
2015-02-03 08:43:21.7856,INFO,Performing bulk copy from Oracle to SQL for FIPS => ,
2015-02-03 08:43:22.0826,INFO,Validating and updating TABLE => CICOOFF_TEST,
2015-02-03 08:43:22.9256,ERROR,Could not validate and update TABLE => CICOOFF_TEST,
2015-02-03 08:43:22.9256,INFO,TRUNCATING table GRDMS_CICOOFF_TEST,
2015-02-03 08:43:22.9346,INFO,TRUNCATING table GRDMS_CICOHOVT_TEST,
2015-02-03 08:43:22.9346,INFO,TRUNCATING table GRDMS_CICOHPMS_TEST,
2015-02-03 08:43:22.9346,INFO,Creating DATATABLE from ORACLE TABLE => CICOOFF_TEST for FIPS => ,
2015-02-03 08:43:22.9346,INFO,Getting CICOOFF for FIPS => ,
2015-02-03 08:43:57.0116,INFO,Mapping columns,
2015-02-03 08:43:57.0116,INFO,Writing to server,
2015-02-03 08:44:01.7256,INFO,Creating DATATABLE from ORACLE TABLE => CICOHOVT_TEST for FIPS => ,
2015-02-03 08:44:01.7256,INFO,Getting CICOHOVT for FIPS => ,
2015-02-03 08:44:01.7516,INFO,Mapping columns,
2015-02-03 08:44:01.7516,INFO,Writing to server,
2015-02-03 08:44:01.7516,INFO,Creating DATATABLE from ORACLE TABLE => CICOHPMS_TEST for FIPS => ,
2015-02-03 08:44:01.7516,INFO,Getting CICOHPMS for FIPS => ,
2015-02-03 08:44:02.3336,INFO,Mapping columns,
2015-02-03 08:44:02.3336,INFO,Writing to server,
2015-02-03 08:44:02.3846,INFO,Bulk copy from Oracle to SQL success,
2015-02-03 11:08:17.2316,INFO,Loading data from Oracle to SQL for FIPS => ,
2015-02-03 11:08:17.2666,INFO,Performing bulk copy from Oracle to SQL for FIPS => ,
2015-02-03 11:08:17.6046,INFO,Validating and updating TABLE => CICOOFF_TEST,
2015-02-03 11:08:18.3936,ERROR,Could not validate and update TABLE => CICOOFF_TEST,
2015-02-03 11:08:18.4606,INFO,TRUNCATING table GRDMS_CICOOFF_TEST,
2015-02-03 11:08:18.4606,INFO,TRUNCATING table GRDMS_CICOHOVT_TEST,
2015-02-03 11:08:18.4636,INFO,TRUNCATING table GRDMS_CICOHPMS_TEST,
2015-02-03 11:08:18.4636,INFO,Creating DATATABLE from ORACLE TABLE => CICOOFF_TEST for FIPS => ,
2015-02-03 11:08:18.4636,INFO,Getting CICOOFF for FIPS => ,
2015-02-03 11:08:38.2786,INFO,Mapping columns,
2015-02-03 11:08:38.2786,INFO,Writing to server,
2015-02-03 11:08:41.8966,INFO,Creating DATATABLE from ORACLE TABLE => CICOHOVT_TEST for FIPS => ,
2015-02-03 11:08:41.8966,INFO,Getting CICOHOVT for FIPS => ,
2015-02-03 11:08:41.9246,INFO,Mapping columns,
2015-02-03 11:08:41.9246,INFO,Writing to server,
2015-02-03 11:08:41.9246,INFO,Creating DATATABLE from ORACLE TABLE => CICOHPMS_TEST for FIPS => ,
2015-02-03 11:08:41.9246,INFO,Getting CICOHPMS for FIPS => ,
2015-02-03 11:08:42.4826,INFO,Mapping columns,
2015-02-03 11:08:42.4826,INFO,Writing to server,
2015-02-03 11:08:42.5806,INFO,Bulk copy from Oracle to SQL success,
2015-02-03 13:00:37.7476,INFO,Loading data from Oracle to SQL for FIPS => ,
2015-02-03 13:00:37.7476,INFO,Performing bulk copy from Oracle to SQL for FIPS => ,
2015-02-03 13:00:38.0186,INFO,Validating and updating TABLE => CICOOFF_TEST,
2015-02-03 13:00:38.7376,ERROR,Could not validate and update TABLE => CICOOFF_TEST,
2015-02-03 13:00:38.8366,INFO,TRUNCATING table GRDMS_CICOOFF_TEST,
2015-02-03 13:00:38.8366,INFO,TRUNCATING table GRDMS_CICOHOVT_TEST,
2015-02-03 13:00:38.8366,INFO,TRUNCATING table GRDMS_CICOHPMS_TEST,
2015-02-03 13:00:38.8366,INFO,Creating DATATABLE from ORACLE TABLE => CICOOFF_TEST for FIPS => ,
2015-02-03 13:00:38.8366,INFO,Getting CICOOFF for FIPS => ,
2015-02-03 13:01:02.5246,INFO,Mapping columns,
2015-02-03 13:01:02.5246,INFO,Writing to server,
2015-02-03 13:01:10.1926,INFO,Creating DATATABLE from ORACLE TABLE => CICOHOVT_TEST for FIPS => ,
2015-02-03 13:01:10.1926,INFO,Getting CICOHOVT for FIPS => ,
2015-02-03 13:01:10.2196,INFO,Mapping columns,
2015-02-03 13:01:10.2196,INFO,Writing to server,
2015-02-03 13:01:10.2226,INFO,Creating DATATABLE from ORACLE TABLE => CICOHPMS_TEST for FIPS => ,
2015-02-03 13:01:10.2226,INFO,Getting CICOHPMS for FIPS => ,
2015-02-03 13:01:10.7746,INFO,Mapping columns,
2015-02-03 13:01:10.7746,INFO,Writing to server,
2015-02-03 13:01:10.8236,INFO,Bulk copy from Oracle to SQL success,
2015-02-03 14:27:22.1316,INFO,Performing copy from SQL to SQL for FIPS => 23135,
2015-02-03 14:27:22.3736,INFO,Deleting records from TABLE => CICOOFF_TEST for FIPS => ,
2015-02-03 14:27:22.4076,INFO,Inserting records info TABLE => CICOOFF_TEST for FIPS => 23135,
2015-02-03 14:27:22.7386,INFO,Successfully inserted records into TABLE => CICOOFF_TEST for FIPS => 23135,
